Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],Interface_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],Interface_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0],T_Channel_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],T_Channel_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
64,64,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
65,65,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
66,66,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
67,67,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
68,68,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
69,69,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
70,70,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
71,71,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
72,72,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
73,73,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
